date,open,high,low,close,volume
2026-03-23,3300.558,3334.456,3214.819,3235.221,23966917084
2026-03-24,3266.932,3270.191,3155.271,3251.545,20522547863
2026-03-25,3287.171,3325.263,3278.726,3316.971,20629018561
2026-03-26,3299.031,3347.23,3263.996,3272.488,18545832832
2026-03-27,3236.37,3323.333,3228.411,3295.88,16968830294
2026-03-30,3254.431,3281.393,3224.599,3273.355,17219385707
2026-03-31,3247.279,3280.479,3184.952,3184.952,17816826549
2026-04-01,3255.264,3255.264,3206.802,3247.523,18012365918
2026-04-02,3229.6,3229.679,3155.13,3172.649,17467543341
2026-04-03,3197.771,3199.438,3149.153,3149.596,16182688712
2026-04-07,3162.823,3181.351,3133.779,3160.816,14670427390
2026-04-08,3257.906,3348.392,3243.782,3347.61,22690229989
2026-04-09,3316.291,3340.298,3301.646,3323.299,19555590311
2026-04-10,3355.073,3470.719,3354.765,3448.787,20539106713
2026-04-13,3434.32,3492.482,3434.32,3476.44,18001313969
2026-04-14,3507.11,3560.302,3493.368,3558.527,20096606164
2026-04-15,3596.079,3599.979,3491.451,3514.96,20315993310
2026-04-16,3531.261,3629.422,3518.358,3626.271,21219301035
2026-04-17,3643.153,3685.098,3620.328,3678.293,21364787944
2026-04-20,3657.348,3696.26,3642.807,3677.576,21559884372
2026-04-21,3662.259,3695.742,3619.485,3688.937,19671006859
2026-04-22,3660.42,3755.751,3660.085,3752.759,20832548977
2026-04-23,3769.019,3785.23,3681.571,3720.247,23455411380
2026-04-24,3682.499,3699.939,3624.995,3667.785,22796018188
2026-04-27,3677.89,3686.943,3640.115,3648.788,21594188735
2026-04-28,3623.49,3636.934,3580.389,3596.712,21883402468
2026-04-29,3578.423,3692.206,3578.423,3687.168,21500240214
2026-04-30,3704.109,3718.399,3660.219,3677.148,20180814133
2026-05-06,3760.671,3815.07,3724.527,3778.159,24988027312
2026-05-07,3807.99,3840.055,3761.232,3833.057,25231311943
2026-05-08,3792.042,3840.156,3787.174,3796.128,24287398220
2026-05-11,3829.608,3937.874,3797.498,3928.974,26404616003
2026-05-12,3947.137,3954.991,3897.817,3934.882,24703507786
2026-05-13,3900.737,4041.989,3893.803,4038.333,24807207033
2026-05-14,4087.851,4090.422,3937.601,3951.14,25032317176
2026-05-15,3957.738,4002.727,3870.374,3929.064,24556981859
2026-05-18,3895.068,3961.156,3883.405,3914.875,21764693581
2026-05-19,3894.001,3918.307,3808.47,3908.438,22348130376
2026-05-20,3889.679,3947.22,3887.155,3921.789,22260561647
2026-05-21,3962.303,4017.809,3827.516,3829.779,26552874188
2026-05-22,3875.813,3948.989,3856.207,3938.502,21429015141
2026-05-25,3974.975,4022.737,3905.695,4021.16,23145781457
2026-05-26,4003.133,4057.369,3985.513,4043.066,22809212733
2026-05-27,4053.675,4148.234,4015.65,4045.773,22412918557
2026-05-28,4042.078,4135.375,3971.719,4125.075,20779648537
2026-05-29,4141.914,4158.694,4010.119,4037.951,23341375890
2026-06-01,4057.393,4081.418,3942.683,3950.943,21079880879
2026-06-02,3987.406,4083.925,3946.108,4055.871,20391572781
2026-06-03,4089.02,4218.331,4063.205,4122.987,21892584780
2026-06-04,4072.549,4114.237,4051.146,4088.884,20272486985
2026-06-05,4079.952,4105.21,3933.065,3957.935,22873202312
2026-06-08,3820.231,3903.774,3776.927,3811.785,22833641435
2026-06-09,3865.693,3962.898,3823.76,3961.749,20975558495
2026-06-10,3897.73,3928.36,3818.312,3854.793,20394708661
2026-06-11,3839.187,3910.278,3755.613,3811.246,19846534095
2026-06-12,3921.089,3921.535,3822.422,3830.353,23024609971
2026-06-15,3896.167,4033.535,3844.08,4033.535,22126900284
2026-06-16,4065.271,4142.433,4053.878,4102.942,22590511467
2026-06-17,4061.297,4168.165,4058.614,4167.048,22186156810
2026-06-18,4153.621,4272.008,4153.621,4252.39,22655993767
2026-06-22,4272.988,4359.392,4229.315,4359.392,27234600246
2026-06-23,4343.875,4350.063,4159.476,4192.194,24585896693
2026-06-24,4181.906,4257.25,4161.581,4251.424,23249470821
2026-06-25,4278.339,4380.413,4242.863,4371.989,24652288136
2026-06-26,4319.409,4328.7,4175.377,4194.209,24093147333
2026-06-29,4200.674,4265.463,4103.633,4216.699,24357140946
2026-06-30,4217.633,4353.105,4205.742,4342.712,22318593200
2026-07-01,4336.161,4361.825,4222.223,4260.721,26490099989
2026-07-02,4135.342,4168.873,3999.567,4017.273,24955456817
2026-07-03,4010.819,4115.628,3985.363,4019.934,22845319540
2026-07-06,4050.876,4063.631,3903.478,3948.86,21657677145
2026-07-07,3931.439,3976.114,3859.426,3911.907,18580698368
2026-07-08,3932.42,3965.388,3824.33,3845.351,19257204922
2026-07-09,3892.123,4025.316,3812.655,4018.174,20837813552
2026-07-10,4041.859,4060.533,3842.347,3842.731,24825417598
2026-07-13,3809.858,3855.753,3691.232,3723.517,21989517615
2026-07-14,3729.613,3855.035,3673.958,3851.137,19614651747
2026-07-15,3879.766,3905.312,3794.344,3804.704,19725276324
2026-07-16,3710.507,3796.346,3658.068,3692.457,19845656291
2026-07-17,3642.057,3642.057,3387.26,3428.63,23022124305
2026-07-20,3504.116,3550.594,3338.213,3443.102,23717409929
2026-07-21,3469.223,3687.147,3373.04,3685.969,25892240565
2026-07-22,3644.976,3694.9,3553.367,3566.732,20583391854
2026-07-23,3596.735,3621.728,3538.106,3575.52,18176633354
2026-07-24,3515.504,3561.35,3480.87,3480.87,16879360665
2026-07-27,3482.045,3592.1,3449.205,3590.787,17522739402
2026-07-28,3478.864,3511.7,3312.305,3327.03,17470804162
2026-07-29,3333.481,3411.032,3249.647,3378.696,20104472035
2026-07-30,3331.321,3353.81,3158.139,3244.618,20383641844
2026-07-31,3411.612,3464.897,3343.964,3343.964,23617094508
2026-08-03,3320.093,3342.173,3280.843,3302.553,18772097180
2026-08-04,3353.512,3510.512,3342.406,3488.966,21110662267
2026-08-05,3372.082,3584.062,3372.042,3535.143,22649535325
2026-08-06,3472.146,3574.406,3444.358,3515.56,21880724664
2026-08-07,3537.44,3613.871,3507.615,3563.116,22997743476
2026-08-10,3567.046,3575.589,3470.953,3537.214,20898630208
2026-08-11,3533.894,3601.59,3517.572,3549.164,19075507613
2026-08-12,3542.133,3625.268,3540.948,3602.083,18343894837
2026-08-13,3656.876,3681.799,3585.272,3586.043,22085067455
2026-08-14,3610.194,3633.034,3578.614,3626.296,19350780905
2026-08-17,3632.777,3740.157,3604.166,3740.157,19427869202
2026-08-18,3730.987,3747.528,3662.448,3705.564,19621381472
2026-08-19,3605.518,3622.503,3455.478,3473.493,20550914125
2026-08-20,3517.652,3531.923,3459.569,3495.589,18287532378
2026-08-21,3495.113,3563.059,3478.517,3545.577,16889680174
2026-08-24,3550.249,3551.508,3376.639,3431.885,17031614880
2026-08-25,3403.198,3440.65,3359.735,3397.515,17066418311
2026-08-26,3409.279,3455.888,3379.142,3414.883,16478265609
2026-08-27,3437.901,3474.069,3408.801,3473.355,18256943850
2026-08-28,3453.729,3521.469,3423.074,3424.401,18615422178
2026-08-31,3367.043,3438.681,3359.135,3438.681,19265537523
2026-09-01,3435.321,3442.477,3375.013,3393.43,19489930593
2026-09-02,3347.675,3348.693,3296.475,3312.243,16524922541
2026-09-03,3342.092,3356.246,3285.058,3312.541,16153244703
2026-09-04,3344.621,3370.468,3266.796,3286.546,19341304198
2026-09-07,3326.417,3409.365,3320.265,3398.681,16586585867
2026-09-08,3394.346,3418.485,3346.714,3359.716,16708357667
2026-09-09,3398.222,3398.222,3327.137,3354.969,15879997901
2026-09-10,3324.333,3368.733,3308.705,3338.422,14218171993
2026-09-11,3310.013,3335.814,3261.1,3322.039,16510348210
